datetime,portfolio_value,cash,positions,return
2023-05-17 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-05-18 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-05-19 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-05-20 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-05-21 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-05-22 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-05-23 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-05-24 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-05-25 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-05-26 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-05-27 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-05-28 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-05-29 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-05-30 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-05-31 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-06-01 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-06-02 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-06-03 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-06-04 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-06-05 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-06-06 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-06-07 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-06-08 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-06-09 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-06-10 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-06-11 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-06-12 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-06-13 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-06-14 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-06-15 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-06-16 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-06-17 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-06-18 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-06-19 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-06-20 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-06-21 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-06-22 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-06-23 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-06-24 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-06-25 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-06-26 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-06-27 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-06-28 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-06-29 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-06-30 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-07-01 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-07-02 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-07-03 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-07-04 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
